Site,Replicate,Mining,Miningfac,Survey,Time,Colour,Soil_moisture,Rainfall_3mth,,,,,,,
CW,4,Mined,2,4,2016.1,7,20.1,291,,,,,,,
CW,5,Mined,2,4,2016.1,7,23.7,291,,,,,,,
CW,6,Mined,2,4,2016.1,7,29.8,291,,,,,,,
CW,7,Mined,2,4,2016.1,7,28.96666667,291,,,,,,,
CW,8,Mined,2,4,2016.1,7,13.3,291,,,,,,,
CW,9,Mined,2,4,2016.1,7,19.26666667,291,,,,,,,
CW,10,Mined,2,4,2016.1,7,24.43333333,291,,,,,,,
CW,1,Mined,2,5,2017.1,7,45.56666667,190.8,,,,,,,
CW,2,Mined,2,5,2017.1,7,21.53333333,190.8,,,,,,,
CW,3,Mined,2,5,2017.1,7,36.26666667,190.8,,,,,,,
CW,4,Mined,2,5,2017.1,7,19.46666667,190.8,,,,,,,
CW,5,Mined,2,5,2017.1,7,18.96666667,190.8,,,,,,,
CW,6,Mined,2,5,2017.1,7,28.9,190.8,,,,,,,
CW,7,Mined,2,5,2017.1,7,24.23333333,190.8,,,,,,,
CW,8,Mined,2,5,2017.1,7,22.7,190.8,,,,,,,
CW,9,Mined,2,5,2017.1,7,36.36666667,190.8,,,,,,,
CW,10,Mined,2,5,2017.1,7,19.4,190.8,,,,,,,
CW,1,Mined,2,6,2018.1,7,36.8,181.8,,,,,,,
CW,2,Mined,2,6,2018.1,7,17.83333333,181.8,,,,,,,
CW,3,Mined,2,6,2018.1,7,38.26666667,181.8,,,,,,,
CW,4,Mined,2,6,2018.1,7,22.53333333,181.8,,,,,,,
CW,5,Mined,2,6,2018.1,7,39.23333333,181.8,,,,,,,
CW,6,Mined,2,6,2018.1,7,15.76666667,181.8,,,,,,,
CW,7,Mined,2,6,2018.1,7,18.16666667,181.8,,,,,,,
CW,8,Mined,2,6,2018.1,7,14.16666667,181.8,,,,,,,
CW,9,Mined,2,6,2018.1,7,24.46666667,181.8,,,,,,,
CW,10,Mined,2,6,2018.1,7,9.1,181.8,,,,,,,
CW,1,Mined,2,7,2019.1,7,39.93333333,369.2,,,,,,,
CW,2,Mined,2,7,2019.1,7,38.66666667,369.2,,,,,,,
CW,3,Mined,2,7,2019.1,7,43.46666667,369.2,,,,,,,
CW,4,Mined,2,7,2019.1,7,32.23333333,369.2,,,,,,,
CW,5,Mined,2,7,2019.1,7,53.56666667,369.2,,,,,,,
CW,6,Mined,2,7,2019.1,7,29.16666667,369.2,,,,,,,
CW,7,Mined,2,7,2019.1,7,42.43333333,369.2,,,,,,,
CW,8,Mined,2,7,2019.1,7,20.46666667,369.2,,,,,,,
CW,9,Mined,2,7,2019.1,7,39.6,369.2,,,,,,,
CW,10,Mined,2,7,2019.1,7,24.96666667,369.2,,,,,,,
CW,1,Mined,2,8,2020,7,20.13333333,92,,,,,,,
CW,2,Mined,2,8,2020,7,23.26666667,92,,,,,,,
CW,3,Mined,2,8,2020,7,9.366666667,92,,,,,,,
CW,4,Mined,2,8,2020,7,8.4,92,,,,,,,
CW,5,Mined,2,8,2020,7,2.233333333,92,,,,,,,
CW,6,Mined,2,8,2020,7,7.6,92,,,,,,,
CW,7,Mined,2,8,2020,7,11.5,92,,,,,,,
