Site,Replicate,Mining,Miningfac,Survey,Time,Colour,Soil_moisture,Rainfall_3mth,,,,,,,
SS,4,Unmined reference,1,3,2015.1,3,94.46666667,320.9,,,,,,,
SS,5,Unmined reference,1,3,2015.1,3,96.8,320.9,,,,,,,
SS,6,Unmined reference,1,3,2015.1,3,92.5,320.9,,,,,,,
SS,7,Unmined reference,1,3,2015.1,3,95.13333333,320.9,,,,,,,
SS,8,Unmined reference,1,3,2015.1,3,84.26666667,320.9,,,,,,,
SS,9,Unmined reference,1,3,2015.1,3,94.4,320.9,,,,,,,
SS,10,Unmined reference,1,3,2015.1,3,93.06666667,320.9,,,,,,,
SS,1,Unmined reference,1,5,2017.1,3,93.63333333,190.8,,,,,,,
SS,2,Unmined reference,1,5,2017.1,3,90.73333333,190.8,,,,,,,
SS,3,Unmined reference,1,5,2017.1,3,91.46666667,190.8,,,,,,,
SS,4,Unmined reference,1,5,2017.1,3,92.26666667,190.8,,,,,,,
SS,5,Unmined reference,1,5,2017.1,3,91.76666667,190.8,,,,,,,
SS,6,Unmined reference,1,5,2017.1,3,88.5,190.8,,,,,,,
SS,7,Unmined reference,1,5,2017.1,3,89.86666667,190.8,,,,,,,
SS,8,Unmined reference,1,5,2017.1,3,89.26666667,190.8,,,,,,,
SS,9,Unmined reference,1,5,2017.1,3,93.7,190.8,,,,,,,
SS,10,Unmined reference,1,5,2017.1,3,83.86666667,190.8,,,,,,,
SS,1,Unmined reference,1,6,2018.1,3,90.13333333,181.8,,,,,,,
SS,2,Unmined reference,1,6,2018.1,3,91.5,181.8,,,,,,,
SS,3,Unmined reference,1,6,2018.1,3,76.66666667,181.8,,,,,,,
SS,4,Unmined reference,1,6,2018.1,3,85.43333333,181.8,,,,,,,
SS,5,Unmined reference,1,6,2018.1,3,87.83333333,181.8,,,,,,,
SS,6,Unmined reference,1,6,2018.1,3,89.7,181.8,,,,,,,
SS,7,Unmined reference,1,6,2018.1,3,90.86666667,181.8,,,,,,,
SS,8,Unmined reference,1,6,2018.1,3,91.56666667,181.8,,,,,,,
SS,9,Unmined reference,1,6,2018.1,3,93.66666667,181.8,,,,,,,
SS,10,Unmined reference,1,6,2018.1,3,78,181.8,,,,,,,
SS,1,Unmined reference,1,7,2019.1,3,92.56666667,369.2,,,,,,,
SS,2,Unmined reference,1,7,2019.1,3,92.56666667,369.2,,,,,,,
SS,3,Unmined reference,1,7,2019.1,3,91.66666667,369.2,,,,,,,
SS,4,Unmined reference,1,7,2019.1,3,91.1,369.2,,,,,,,
SS,5,Unmined reference,1,7,2019.1,3,92.5,369.2,,,,,,,
SS,6,Unmined reference,1,7,2019.1,3,97.16666667,369.2,,,,,,,
SS,7,Unmined reference,1,7,2019.1,3,81.6,369.2,,,,,,,
SS,8,Unmined reference,1,7,2019.1,3,91.93333333,369.2,,,,,,,
SS,9,Unmined reference,1,7,2019.1,3,93.13333333,369.2,,,,,,,
SS,10,Unmined reference,1,7,2019.1,3,91.86666667,369.2,,,,,,,
SS,1,Unmined reference,1,8,2020,3,92.26666667,92,,,,,,,
SS,2,Unmined reference,1,8,2020,3,92.7,92,,,,,,,
SS,3,Unmined reference,1,8,2020,3,92.53333333,92,,,,,,,
SS,4,Unmined reference,1,8,2020,3,93.83333333,92,,,,,,,
SS,5,Unmined reference,1,8,2020,3,93.66666667,92,,,,,,,
SS,6,Unmined reference,1,8,2020,3,66.3,92,,,,,,,
SS,7,Unmined reference,1,8,2020,3,90.8,92,,,,,,,
SS,8,Unmined reference,1,8,2020,3,75.33333333,92,,,,,,,
SS,9,Unmined reference,1,8,2020,3,87.83333333,92,,,,,,,
SS,10,Unmined reference,1,8,2020,3,92.76666667,92,,,,,,,
SS,1,Unmined reference,1,9,2021.1,3,92.23,246.5,,,,,,,
SS,2,Unmined reference,1,9,2021.1,3,94.4,246.5,,,,,,,
SS,3,Unmined reference,1,9,2021.1,3,92.33,246.5,,,,,,,
SS,4,Unmined reference,1,9,2021.1,3,94.17,246.5,,,,,,,
SS,5,Unmined reference,1,9,2021.1,3,92.53,246.5,,,,,,,
SS,6,Unmined reference,1,9,2021.1,3,32.5,246.5,,,,,,,
SS,7,Unmined reference,1,9,2021.1,3,92.33,246.5,,,,,,,
SS,8,Unmined reference,1,9,2021.1,3,76.93,246.5,,,,,,,
SS,9,Unmined reference,1,9,2021.1,3,91.33,246.5,,,,,,,
SS,10,Unmined reference,1,9,2021.1,3,92.17,246.5,,,,,,,
SS,1,Unmined reference,1,10,2022.2,3,86.5,560.1,,,,,,,
SS,2,Unmined reference,1,10,2022.2,3,90.33333333,560.1,,,,,,,
SS,3,Unmined reference,1,10,2022.2,3,91.26666667,560.1,,,,,,,
SS,4,Unmined reference,1,10,2022.2,3,91.7,560.1,,,,,,,
SS,5,Unmined reference,1,10,2022.2,3,91.56666667,560.1,,,,,,,
SS,6,Unmined reference,1,10,2022.2,3,92,560.1,,,,,,,
SS,7,Unmined reference,1,10,2022.2,3,95.43333333,560.1,,,,,,,
SS,8,Unmined reference,1,10,2022.2,3,93.13333333,560.1,,,,,,,
SS,9,Unmined reference,1,10,2022.2,3,91.83333333,560.1,,,,,,,
SS,10,Unmined reference,1,10,2022.2,3,79.9,560.1,,,,,,,
